nThread,iteration,time
2,1,0.26
2,2,0.26
2,3,0.27
2,4,0.26
2,5,0.26
4,1,0.27
4,2,0.27
4,3,0.27
4,4,0.26
4,5,0.28
6,1,0.29
6,2,0.29
6,3,0.29
6,4,0.29
6,5,0.29
8,1,0.31
8,2,0.32
8,3,0.35
8,4,0.36
8,5,0.32
