nThread,iteration,time
2,1,2.07
2,2,2.04
2,3,1.54
2,4,1.71
2,5,1.75
4,1,3.73
4,2,3.92
4,3,3.74
4,4,3.11
4,5,2.72
6,1,3.13
6,2,3.38
6,3,3.17
6,4,3.11
6,5,3.28
8,1,3.34
8,2,3.18
8,3,3.26
8,4,3.20
8,5,3.38
