nThread,iteration,time
2,1,0.40
2,2,0.39
2,3,0.39
2,4,0.39
2,5,0.39
4,1,6.09
4,2,4.22
4,3,3.95
4,4,3.12
4,5,3.95
6,1,2.50
6,2,2.48
6,3,2.55
6,4,2.61
6,5,2.64
8,1,2.55
8,2,2.50
8,3,2.73
8,4,2.47
8,5,2.58
