nThread,iteration,time
2,1,0.31
2,2,0.32
2,3,0.33
2,4,0.39
2,5,0.38
4,1,0.36
4,2,0.35
4,3,0.34
4,4,0.29
4,5,0.30
6,1,0.32
6,2,0.30
6,3,0.31
6,4,0.31
6,5,0.34
8,1,0.34
8,2,0.37
8,3,0.53
8,4,0.55
8,5,0.53
10,1,0.42
10,2,0.40
10,3,0.44
10,4,0.46
10,5,0.46
12,1,0.47
12,2,0.47
12,3,0.36
12,4,0.48
12,5,0.50
